,countryName,numCases,numDeaths,numRecovered,numDoctors,numHospitalBeds,travelAdv
0,Albania,832,31,595,1.2,2.9,"Closed borders on 15 March and all commercial flights on 29 March.Therefore, travel between Albania and Montenegro, Kosovo, North Macedonia, and Greece is prohibited, unless for the transportation of goods."
1,Algeria,4997,476,2197,1.83,1.9,All international flights to Algeria are suspended.
2,Antigua and Barbuda,25,3,16,2.76,3.8,"Visitors who have travelled through Austria, Belgium, Bulgaria, Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United Kingdom in the past 28 days are not allowed to enter or transit Antigua and Barbuda. Banned arrivals from Japan."
3,Argentina,5208,273,1524,3.96,5.0,"Borders closed to non-residents, effective 15 March through 1 September"
4,Armenia,2782,40,1135,2.9,4.2,Passengers are not allowed to enter Armenia until 14 May 2020.
5,Australia,6894,97,6031,3.59,3.8,Borders closed to all non-citizens and non-residents of Australia from 21:00 March 20.
6,Australia,6894,97,6031,3.59,3.8,"The Australian Government has announced that any person – regardless of citizenship or residency status – travelling to Australia from any international destination will be required to undergo a compulsory 14-day quarantine, beginning from their date of arrival. The regulations, effective from 16 March 2020, also ban cruise ships arriving from international waters from docking at any Australian port."
7,Austria,15684,608,13639,5.14,7.6,"Closed land borders for persons not having medical certificate confirming negative test for SARS-CoV-2 within last four days. Visitors arriving by air without proof of recently testing negative will be allowed into the country, but placed in mandatory quarantine for 14 days or until they test negative."
8,Azerbaijan,2127,28,1536,3.45,4.7,"Effective 23 March 2020, passengers are not allowed to enter Azerbaijan except passengers with a work permit and passengers with a special permission issued by the government of Azerbaijan."
9,Bahrain,3934,8,1860,0.93,2.0,"Visa on arrival has been suspended. This does not apply to passengers with a diplomatic, an official, a service or UN passport. Passengers who have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and USA in the past 14 days are not allowed to transit and enter Bahrain. Passengers who have been in Hong Kong (SAR China), Italy, Japan, Lebanon, Malaysia, Singapore or Thailand in the past 14 days must have a valid visa prior to arrival."
10,Belgium,50781,8339,12731,3.32,6.2,Closed its borders to non-essential travel on 20 March.
11,Belize,18,2,16,1.13,1.3,"Borders closed to all travellers, including Belizean nationals except for emergency situations."
12,Benin,96,2,50,0.16,0.5,14-day quarantine.
13,Bolivia,1886,91,198,1.61,1.1,"Effective 20 March, Borders closed to foreigners and international flights cancelled."
14,Botswana,23,1,8,0.37,1.8,"Visitors from Austria, Belgium, China (People's Rep.), Denmark, France, Germany, India, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland, USA or United Kingdom are not allowed to enter or transit Botswana."
15,Brazil,126611,8588,51370,2.15,2.2,"Effective 30 March 2020, passengers are not allowed to enter Brazil except specific categories of passengers."
16,Brunei,139,1,131,1.77,2.7,"Effective 24 March 2020, all foreigners are not allowed to enter Brunei on all border checkpoints, including those on transit purposes."
17,Bulgaria,1778,84,360,3.99,6.8,"A temporary ban on entry imposed on all persons arriving from Italy, Spain, France, the United Kingdom, Germany, the Netherlands, Switzerland, Austria, Belgium, Iceland, Liechtenstein, Luxembourg and non-EU/Schengen countries. Visitors from some countries can transit through Bulgaria to return home."
18,Cambodia,122,0,120,0.17,0.8,"Visitors from France, Germany, Iran, Italy, Spain or USA are not allowed to enter Cambodia. Visitors from Japan denied entry."
19,Canada,64694,4366,28184,2.61,2.7,"Borders are closed to all travellers who are not citizens, permanent residents or U.S. citizens. Exceptions are placed for diplomats, crew and immediate family members of citizens with clearing a basic health assessment by air operators. The U.S. and Canada later agreed to close the Canada–United States border to non-essential traffic."
20,Canada,64694,4366,28184,2.61,2.7,"Effective midnight 25 March 2020, the Canadian government announced an Emergency Order under the Quarantine Act that requires any person entering Canada by air, sea or land to self-isolate for 14 days whether or not they have symptoms of COVID-19."
21,Chile,23048,281,11189,1.08,2.2,Passengers are not allowed to enter Chile.
22,Chile,23048,281,11189,1.08,2.2,Will not permit cruise ships to dock as of 15 March. Travellers who have been to countries of concern are subject to examination or quarantine upon arrival.
23,China,83970,4637,78929,1.79,4.2,"Effective 28 March 2020, entry refused to non-Chinese citizens  holding visas or residence permits still valid to the time of the announcement issued on 26 March. All specific visa regulations and entry by foreign nationals with APEC Business Travel Cards will also be suspended."
24,Colombia,8959,397,2148,2.08,1.5,"Effective 17 March, Colombia will close borders completely until 30 May. Cargo will be permitted, but no persons will be allowed to enter or exit."
25,Congo (Kinshasa),797,35,92,0.09,0.8,"The DRC government has declared a State of Emergency effective 24 March to limit the spread of COVID-19. All international passenger flights are suspended (except for limited special commercial flights, organized by embassies). All domestic passenger flights, as well as road and river transport, between Kinshasa and the provinces are suspended. Goods transport continues with controlled checkpoints."
26,Costa Rica,761,6,428,1.15,1.2,"Borders closed to non-residents, effective 16 March through 15 May. Exceptions in place for crews. All returning nationals and residents are subject to mandatory 14 day quarantine. Border restrictions are likely to be extended."
27,Croatia,2119,85,1601,3.0,5.6,Closed its borders to non-citizens on 19 March.
28,Cuba,1703,69,1001,8.19,5.2,"Effective 24 March 2020, Borders closed to all non-residents; only Cuban and foreign residents will be allowed to enter the country."
29,Cyprus,883,15,296,1.95,3.4,"The Cypriot government has announced that only its citizens, along with other Europeans working on the island and people with special permits will be allowed into the country for a 15-day period beginning on 15 March. This ban has been extended until 30 April 2020."
30,Czechia,7974,262,4205,4.31,6.5,"Partially closed its borders on 14 March. Closed its borders to all non-residents on 16 March. From 24 April, EU nationals are allowed to enter for short business trips or study, but only with an up-to-date negative test."
31,Denmark,10136,506,7689,4.46,2.5,"Closed its borders to all non-citizens 14 March.  This includes a ban on crossing the border for all tourism, but exempts travellers with ""credible purpose"" such as non-citizen Danish residents."
32,Dominica,16,0,14,1.08,3.8,Suspended all flights.
