,countryName,travelAdv
0,Brunei,"Effective 24 March 2020, all foreigners are not allowed to enter Brunei on all border checkpoints, including those on transit purposes."
1,China,"Effective 28 March 2020, entry refused to non-Chinese citizens  holding visas or residence permits still valid to the time of the announcement issued on 26 March. All specific visa regulations and entry by foreign nationals with APEC Business Travel Cards will also be suspended."
2,Hong Kong,"Closed its borders to all non-residents. All non-Hong Kong residents who have been in overseas countries/territories (i.e. excluding mainland China, Macau and Taiwan) in the past 14 days are barred from entering Hong Kong, with exceptions provided for certain groups of non-Hong Kong residents such as spouses and minor children of Hong Kong residents as well as Macao residents who are registered under the Macao scheme under agreement between the Macau and the Hong Kong Government, and passengers are no longer allowed to transit through Hong Kong International Airport until further notice starting from 25 March 2020. Non-Hong Kong residents arriving from mainland China, Macau and Taiwan who have not been in any overseas countries/territories in the past 14 days are exempted from the ban, but they are still subject to compulsory quarantine for 14 days same as all other arrivals to Hong Kong."
3,India,"Flights to India are suspended from 00:01 GMT 22 March 2020 until 19:29 GMT 17 May 2020. This does not apply to flights that carry goods for trade or essential goods and supplies, and their crew members, helpers, cleaners etc."
4,Indonesia,"Effective 1 April 2020, all foreigners (except residents, family connection, medical personnel, and people responsible for transport of goods) are not allowed to enter Indonesia on all border checkpoints, including those on transit purposes."
5,Israel,"Effective 12 March 2020, foreign travellers from any country are denied entry, unless a specific permit is given by the Foreign Ministry and the person can prove the ability to remain under home isolation for 14 days. Israeli citizens and permanents residents are required to enter 14-day home isolation."
6,Jordan,"Effective 17 March 2020, Jordan will stop all incoming and outgoing passenger flights into the country."
7,Laos,Flights to Lao People's Dem. Rep. are suspended until 3 May 2020.
8,Macau,"Effective 19 March 2020, all non-residents are prohibited to enter, except residents of mainland China, of Hong Kong and of Taiwan. On 5 April 2020, the Macanese government has announced the closure of the Hong Kong–Zhuhai–Macau Bridge which means all public transportation between Macao and Hong Kong has been suspended; only dual licence plate (HK/Macau) and freight vehicles are allowed to use the bridge."
9,Malaysia,All citizens are prohibited from leaving the country while foreigners are prohibited from entering the country effective 18 March 2020. Airports and airspace remain open.
10,Myanmar,All flights to Myanmar are suspended until 30 April 2020.
11,Nepal,All international flights to Nepal are suspended until 30 April 2020.
12,North Korea,"Closed its borders to all international tourists on 21 January 2020, one of the first countries to do so. Chinese visitors make up the bulk of foreign tourists to North Korea. Also tightened/closed their border with mainland China."
13,Oman,"Suspended tourist visas for all visitors, effective 15 March 2020, for 1 month. Moreover, all cruise ships will be prevented from entering Omani ports for 1 month."
14,Pakistan,Closed its airports for both arrivals and departures on 21 March 2020 for two weeks. The date was later postponed to 11 April 2020.
15,Palestine,Tourist ban of West Bank from 5 March 2020 for 14 days.
16,Philippines,"Visa issuance and visa-free entry for all foreign nationals are temporarily suspended as of 19 March 2020. On 22 March, all foreign visitors are barred from entry, with exceptions for foreign spouses and children of Filipino citizens, diplomatic officials, and workers for international organizations."
17,Qatar,"On 15 March, Qatar said it would ban inbound flights, except for cargo and transit flights, starting from 18 March. The entry ban does not apply to Qatari citizens. Nationals of Qatar are not allowed to exit the country."
18,Saudi Arabia,"All international flights suspended, except in exceptional cases, for a period of two weeks, as of 15 March 2020. The Saudi Ministry of Foreign Affairs recently issued a statement announcing that all religious visits (Umrah) to the sacred Muslim sites of Mecca and Medina have to be cancelled or postponed for the time being."
19,Singapore,"All foreigners are prohibited to entry and transit starting from 23 March, 11.59pm. Only people working in essential services like healthcare services and transport will be allowed into Singapore during this time."
20,Sri Lanka,"Effective 8 April 2020, visas and ETAs issued by Sri Lanka have been invalidated. All airports in Sri Lanka are closed."
21,Taiwan,"Effective 19 March, non-citizens are prohibited to enter unless specifically approved."
22,Thailand,"Effective 26 March 2020, passengers are not allowed to enter Thailand except airline crew with pre-existing schedules, diplomats and their family members, passengers with a work permit and passengers with a waiver from PM or PIC of State of Emergency."
23,Turkmenistan,"In order to prevent the spread of coronavirus. Starting 20 March, the national border of Turkmenistan is restricted to foreign citizens and stateless persons. If necessary, during the specified period, the following categories of persons can enter the territory of Turkmenistan in accordance with applicable norms and rules"
24,UAE,"Effective 19 March 2020, passengers are not allowed to enter United Arab Emirates except family members (including father, mother, son, daughter, wife, husband, grandparents, grandchildren and domestic helpers) of nationals of United Arab Emirates. All visas to foreigners except diplomatic passport holders, with effect from 17 March 2020 have been invalidated. The decision does not apply to those who already have their visas issued prior to the aforementioned date, and visa on arrival is still available for a large number of countries."
25,Vietnam,"Effective 22 March 2020, Entry of all foreigners is suspended until further notice. Temporary suspension of entry will also be applied to all overseas Vietnamese and their spouses and children who have been granted with certificate of visa exemption."
26,Algeria,All international flights to Algeria are suspended.
27,Cape Verde,"On 17 March, as a contingency measure, Prime Minister José Ulisses Correia e Silva announced the suspension of all incoming flights from the US, Brazil, Senegal, Nigeria, Portugal, and all European countries affected by the coronavirus. Since at the time Cape Verde had no air travel connections to other countries, in practice, this results in a lockdown."
28,Democratic Republic of the Congo,"The DRC government has declared a State of Emergency effective 24 March to limit the spread of COVID-19. All international passenger flights are suspended (except for limited special commercial flights, organized by embassies). All domestic passenger flights, as well as road and river transport, between Kinshasa and the provinces are suspended. Goods transport continues with controlled checkpoints."
29,Egypt,Egypt's Prime Minister Moustafa Madbouly announced that Egypt will be shutting down its airports and air travel starting from Thursday 19 March at noon until 15 April to prevent the spread of the coronavirus.
30,The Gambia,"Closed its sole land border with Senegal, and closed its airspace to most flights."
31,Ghana,"Effective 17 March 2020 Ghana will ban anyone that has been to a country with more than 200 cases in the previous 14 days, unless they are an official resident or a Ghanaian national. Citizens and resident-permit holders will be required to self-isolate for 14 days on arrival."
32,Kenya,"Effective 17 March 2020 Kenya halted the entry of foreigners from countries that have confirmed coronavirus cases. Only Kenyan citizens, and any foreigners with valid residence permits will be allowed to come in provided they proceed on self-quarantine or to a government designated quarantine facility."
33,Madagascar,All flights to Madagascar are suspended until 20 April 2020.
34,Mauritius,Passengers are not allowed to transit or enter Mauritius.
35,Morocco,On 15 March 2020 Morocco suspended all international passenger flights to and from the country.
36,Namibia,Namibia's borders are closed until 23 April 2020.
37,Nigeria,On 26 March 2020 Nigeria ordered the immediate closure of international airports and land borders for a period of four weeks.
38,Seychelles,"Effective 30 March 2020, Passengers are not allowed to enter Seychelles except specified categories of passengers."
39,South Africa,"Ban on entry to all including South African citizens. This decision was made hours before lockdown officially began on 26 March at midnight. The Minister of Transport, Fikile Mbalula had hastily made the decision leaving over 3000 South African citizens stranded in foreign countries across the globe without support. It also left 6000 tourists within South Africa's borders stranded with no way to go home. After two weeks, plans were made to get the 6000 tourists home but no plans have been made for the 80 percent of South Africans left stranded. Three repatriation missions from Brazil, Germany and Botswana have been made as those yielded political points with the respective governments."
40,Sudan,"Effective 17 March 2020 Sudan declared a state of emergency and closed all airports and land borders, this after one person died of COVID-19 in the country."
41,Tunisia,All flights to Tunisia are suspended until 19 April 2020.
42,Argentina,"Borders closed to non-residents, effective 15 March through 1 September"
43,Belize,"Borders closed to all travellers, including Belizean nationals except for emergency situations."
44,Bermuda,"Effective 20 March 2020, a travel ban will be in place to disallow travellers to Bermuda unless the person is a Bermuda resident, a crew member, or a person with the written permission of the Quarantine Authority of Bermuda to enter. Flights to Bermuda are suspended until 1 May 2020."
45,Bolivia,"Effective 20 March, Borders closed to foreigners and international flights cancelled."
46,Brazil,"Effective 30 March 2020, passengers are not allowed to enter Brazil except specific categories of passengers."
47,Canada,"Borders are closed to all travellers who are not citizens, permanent residents or U.S. citizens. Exceptions are placed for diplomats, crew and immediate family members of citizens with clearing a basic health assessment by air operators. The U.S. and Canada later agreed to close the Canada–United States border to non-essential traffic."
48,Chile,Passengers are not allowed to enter Chile.
49,Costa Rica,"Borders closed to non-residents, effective 16 March through 15 May. Exceptions in place for crews. All returning nationals and residents are subject to mandatory 14 day quarantine. Border restrictions are likely to be extended."
50,Colombia,"Effective 17 March, Colombia will close borders completely until 30 May. Cargo will be permitted, but no persons will be allowed to enter or exit."
51,Cuba,"Effective 24 March 2020, Borders closed to all non-residents; only Cuban and foreign residents will be allowed to enter the country."
52,Dominica,Suspended all flights.
53,Dominican Republic,"The President of the Dominican Republic ordered to close all borders, effective 19 March. Flights to Dominican Rep. are suspended until 12 April 2020."
54,Ecuador,"Effective 25 March 2020, Ecuador's borders are closed, flights to Ecuador are suspended until 5 April 2020."
55,El Salvador,"On 11 March, the President of El Salvador announced an Executive Order barring the entry of foreigners. The General Directorate of Migration will deny entry to all foreigners, excluding accredited diplomats and legal residents of El Salvador."
56,Guatemala,"The Guatemalan Government announced on 16 March that the country was closing its borders for two weeks, starting on midnight 17 March."
57,Guyana,Airports in Guyana are closed to all international passenger flights until 1 May 2020.
58,Honduras,"Borders closed to all traffic, aside from the movement of goods, effective 15 March, 23:59."
59,Jamaica,No entry except by government authorization.
60,Panama,"From 11.59 p.m on Monday night (16 March), only Panamanians and foreign residents would be allowed to enter Panama. From 11.59 pm on Sunday 22 March, all international flights will be halted."
61,Paraguay,Flights to Paraguay are suspended until 26 April 2020.
62,Peru,Peru restricts access to the interior of the country from 12:00 on 17 March.
